#{"t_start": 1763674313.4397767, "env_id": "None"}
r,l,t
-7456.334331,1,0.868725
-7390.167369,1,0.869176
-7684.152523,1,0.869646
-7346.159458,1,0.870105
-6058.082102,1,0.870574
-8585.892882,1,0.871023
-6961.324106,1,0.871499
-7439.950335,1,0.871955
-6819.676668,1,0.872416
-7760.065452,1,0.872867
-9975.814643,1,0.873331
-9398.194291,1,0.873779
-11333.389813,1,0.874241
-6442.634726,1,0.874698
-7013.577163,1,0.875143
-6052.591394,1,0.875598
-4884.672149,1,0.876043
-7854.82719,1,0.876503
-8044.192324,1,0.876949
-9870.049049,1,0.877406
-6795.508076,1,0.877854
-6624.37757,1,0.878319
-7116.749096,1,0.878766
-6635.132457,1,0.879219
-6668.038233,1,0.879732
-6978.020225,1,0.880208
-6300.096459,1,0.88066
-6616.165777,1,0.881106
-7725.944271,1,0.881565
-6618.480701,1,0.88201
-6869.298458,1,0.882469
-9783.069993,1,0.88292
-8658.272986,1,0.883377
-12006.21159,1,0.883829
-8456.904337,1,0.884288
-8156.542571,1,0.884743
-6705.64999,1,0.8852
-6850.227811,1,0.885644
-4966.380602,1,0.886091
-7767.854317,1,0.886551
-7869.128508,1,0.886996
-6752.114275,1,0.887453
-8067.631304,1,0.887899
-6725.750189,1,0.888485
-9392.938533,1,0.888935
-8448.274495,1,0.889395
-8871.359591,1,0.88984
-5680.372583,1,0.890298
-6537.359803,1,0.890744
-6073.388686,1,0.891197
-7598.284454,1,0.891645
-6321.145887,1,0.892089
-6781.121166,1,0.892545
-9005.576649,1,0.89299
-4915.424421,1,0.893448
-7370.013682,1,0.893895
-8600.601463,1,0.894353
-6403.874473,1,0.894797
-8630.728125,1,0.895251
-9410.587916,1,0.895698
-4807.340932,1,0.896147
-6430.360102,1,0.896602
-6951.382556,1,0.897044
-6286.393179,1,0.897501
-6295.495117,1,0.897954
-9724.074814,1,0.898413
-9966.662524,1,0.898859
-7880.225102,1,0.899313
-6734.010546,1,0.89976
-5775.268229,1,0.900213
-6376.240087,1,0.900728
-7803.520693,1,0.901174
-7372.298822,1,0.901637
-6867.860948,1,0.90208
-8788.746538,1,0.902543
-6171.494953,1,0.90299
-8964.968769,1,0.903448
-9345.996948,1,0.903894
-8531.005101,1,0.90435
-5367.513805,1,0.904793
-10246.718772,1,0.905242
-5272.266637,1,0.905687
-7972.201816,1,0.906131
-7259.607397,1,0.906596
-5911.987117,1,0.907087
-5025.553875,1,0.907549
-6015.650313,1,0.907998
-6923.472447,1,0.908478
-7020.394565,1,0.909061
-5380.740112,1,0.909662
-7173.366796,1,0.910255
-8823.574037,1,0.910846
-6069.540834,1,0.91145
-7433.442475,1,0.912035
-7864.395855,1,0.912631
-8977.986606,1,0.913225
-8420.045991,1,0.913807
-7407.490204,1,0.91438
-8739.874404,1,0.91486
-6879.283166,1,0.91536
-10504.759514,1,0.915817
-8664.585736,1,0.916282
-8225.117371,1,0.916744
-9714.657803,1,0.917218
-8159.490353,1,0.917676
-5011.571967,1,0.918128
-5921.556614,1,0.918601
-7337.136226,1,0.919079
-6082.060169,1,0.919559
-6814.52709,1,0.920012
-5662.531471,1,0.920481
-7724.960435,1,0.920935
-5504.710268,1,0.921399
-6892.858847,1,0.921896
-6819.344064,1,0.92245
-4426.775854,1,0.922915
-8140.447905,1,0.923382
-9236.758015,1,0.923874
-6933.768488,1,0.924343
-7273.276937,1,0.924795
-5678.546674,1,0.925256
-5878.073796,1,0.925714
-6528.806189,1,0.926173
-6747.040616,1,0.926646
